Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V)
-0.01025,-2.4424,0.003386667,12.4516
-0.0102,-2.492266,-0.0009066666,12.45373
-0.010150000000000001,-2.451466,0.0048,12.49933
-0.010100000000000001,-2.492266,0.002906666,12.44947
-0.01005,-2.446933,-0.005173333,12.4864
-0.01,-2.4696,0.002906666,12.47333
-0.00995,2.58,-0.008986666,11.14133
-0.0099,2.507733,-0.003733333,11.06307
-0.009850000000000001,2.557333,-0.01136,10.00053
-0.009800000000000001,2.58,-0.01277333,9.963599
-0.00975,2.5168,-0.003733333,9.357332
-0.0097,2.557333,-0.01325333,9.348666
-0.00965,2.498667,-0.006586666,8.972799
-0.009600000000000001,2.557333,-0.005653333,8.981465
-0.009550000000000001,2.507733,-0.01229333,8.790266
-0.009500000000000001,2.58,-0.004213333,8.777199
-0.00945,2.507733,-0.01136,8.668532
-0.0094,2.507733,-0.006133333,8.668532
-0.00935,2.557333,-0.01373333,8.607733
-0.0093,2.507733,-0.005653333,8.618532
-0.009250000000000001,2.5528,-0.01184,8.551199
-0.0092,2.548266,-0.003733333,8.5664
-0.009150000000000002,2.507733,-0.01325333,8.531599
-0.0091,2.544,-0.005173333,8.544666
-0.009049999999999999,2.507733,-0.01325333,8.499065
-0.009000000000000001,2.5528,-0.003733333,8.533866
-0.00895,2.498667,-0.01184,8.490399
-0.008900000000000002,2.512266,-0.003733333,8.499065
-0.00885,2.561867,-0.01184,8.522932
-0.008800000000000002,2.561867,-0.01184,8.499065
-0.00875,2.507733,-0.003733333,8.5208
-0.0087,2.480533,-0.01325333,8.499065
-0.008650000000000001,2.5528,-0.006133333,8.527332
-0.0086,2.512266,-0.0028,8.522932
-0.008550000000000002,2.561867,-0.01184,8.479465
-0.0085,2.5528,-0.01184,8.509866
-0.00845,2.498667,-0.005653333,8.477332
-0.008400000000000001,2.5528,-0.003733333,8.477332
-0.00835,2.494133,-0.01229333,8.512133
-0.008300000000000002,2.512266,-0.01325333,8.472933
-0.00825,2.575466,-0.003733333,8.507732
-0.008199999999999999,2.507733,-0.01373333,8.483866
-0.008150000000000001,2.557333,-0.007066666,8.512133
-0.0081,2.485066,-0.01184,8.485999
-0.008050000000000002,2.557333,-0.006133333,8.512133
-0.008,2.507733,-0.01229333,8.509866
-0.007950000000000002,2.557333,-0.005653333,8.483866
-0.0079,2.507733,-0.01136,8.518666
-0.00785,2.575466,-0.006133333,8.488132
-0.007800000000000001,2.5032,-0.01184,8.494666
-0.00775,2.5528,-0.005173333,8.5208
-0.007700000000000002,2.557333,-0.003733333,8.492533
-0.0076500000000000005,2.494133,-0.01421333,8.527332
-0.007599999999999999,2.507733,-0.01184,8.492533
-0.007550000000000001,2.548266,-0.005653333,8.5208
-0.0075,2.507733,-0.01136,8.522932
-0.007450000000000002,2.5664,-0.004693333,8.488132
-0.0074,2.507733,-0.01277333,8.483866
-0.007349999999999999,2.561867,-0.005173333,8.505599
-0.007300000000000001,2.5664,-0.01229333,8.479465
-0.0072499999999999995,2.521333,-0.003733333,8.5208
-0.0072000000000000015,2.507733,-0.005173333,8.499065
-0.00715,2.557333,-0.01229333,8.522932
-0.007100000000000002,2.5664,-0.01088,8.542533
-0.007050000000000001,2.512266,-0.004693333,8.501199
-0.006999999999999999,2.512266,-0.01325333,8.544666
-0.006950000000000001,2.5664,-0.005173333,8.499065
-0.0069,2.507733,-0.01136,8.509866
-0.006850000000000002,2.5664,-0.005653333,8.531599
-0.0068000000000000005,2.575466,-0.004693333,8.501199
-0.006749999999999999,2.498667,-0.01277333,8.535999
-0.006700000000000001,2.507733,-0.01421333,8.518666
-0.00665,2.557333,-0.004693333,8.546799
-0.006600000000000002,2.5528,-0.005173333,8.518666
-0.00655,2.512266,-0.01421333,8.542533
-0.006499999999999999,2.5664,-0.005173333,8.553332
-0.006450000000000001,2.5032,-0.01325333,8.499065
-0.0063999999999999994,2.5528,-0.004693333,8.531599
-0.0063500000000000015,2.498667,-0.01229333,8.488132
-0.0063,2.512266,-0.01184,8.501199
-0.006250000000000002,2.557333,-0.004693333,8.538133
-0.006200000000000001,2.5664,-0.01229333,8.540266
-0.006149999999999999,2.512266,-0.004693333,8.501199
-0.006100000000000001,2.5528,-0.01229333,8.531599
-0.00605,2.4896,-0.004213333,8.501199
-0.006000000000000002,2.5528,-0.005173333,8.529466
-0.00595,2.498667,-0.01184,8.492533
-0.005899999999999999,2.5168,-0.004213333,8.542533
-0.005850000000000001,2.5664,-0.01325333,8.496932
-0.0058,2.512266,-0.01088,8.538133
-0.005750000000000002,2.557333,-0.005173333,8.509866
-0.0057,2.512266,-0.006133333,8.540266
-0.005649999999999999,2.575466,-0.01184,8.512133
-0.005600000000000001,2.557333,-0.01184,8.535999
-0.005549999999999999,2.498667,-0.003733333,8.509866
-0.005500000000000001,2.575466,-0.01325333,8.531599
-0.00545,2.498667,-0.00328,8.494666
-0.005400000000000002,2.5664,-0.01088,8.516399
-0.005350000000000001,2.498667,-0.005653333,8.479465
-0.005299999999999999,2.561867,-0.01184,8.505599
-0.005250000000000001,2.512266,-0.00328,8.477332
-0.0052,2.5528,-0.007066666,8.481599
-0.005150000000000002,2.512266,-0.01325333,8.516399
-0.0051,2.507733,-0.004693333,8.505599
-0.005049999999999999,2.575466,-0.01373333,8.531599
-0.005000000000000001,2.544,-0.01088,8.527332
-0.0049499999999999995,-2.501333,5.333333e-05,12.4972
-0.004900000000000002,-2.446933,-0.0028,12.46467
-0.00485,-2.492266,0.008133333,12.49293
-0.004799999999999999,-2.4832,0.004346666,12.46027
-0.004750000000000001,-2.446933,0.01146667,12.49293
-0.004699999999999999,-2.456,0.01242667,12.46027
-0.004650000000000001,-2.5192,0.003386667,12.4864
-0.0046,-2.492266,0.006719999,12.49293
-0.004550000000000002,-2.4336,-0.0004266666,12.46027
-0.0045000000000000005,-2.4336,5.333333e-05,12.48413
-0.004449999999999999,-2.487733,0.008133333,12.44507
-0.004400000000000001,-2.460533,0.00624,12.49293
-0.00435,-2.514666,0.01146667,12.46027
-0.004300000000000002,-2.451466,0.004346666,12.48853
-0.00425,-2.505867,0.01336,12.46467
-0.004199999999999999,-2.446933,0.008133333,12.45587
-0.004150000000000001,-2.501333,0.001013333,12.49293
-0.0040999999999999995,-2.4336,0.001493333,12.49933
-0.0040500000000000015,-2.492266,0.01050667,12.46467
-0.004,-2.451466,0.003386667,12.49293
-0.003949999999999999,-2.4968,0.01050667,12.45587
-0.0039000000000000007,-2.446933,0.002426666,12.49293
-0.0038499999999999993,-2.501333,0.01146667,12.45373
-0.0038000000000000013,-2.4832,0.002426666,12.46467
-0.00375,-2.446933,0.01288,12.4864
-0.003700000000000002,-2.4424,0.01336,12.4668
-0.0036500000000000005,-2.4832,0.006719999,12.49067
-0.003599999999999999,-2.438133,0.002906666,12.4472
-0.003550000000000001,-2.4968,0.01194667,12.49933
-0.0034999999999999996,-2.4424,0.01194667,12.45373
-0.0034500000000000017,-2.4968,0.00576,12.4864
-0.0034000000000000002,-2.4424,0.01288,12.49067
-0.003349999999999999,-2.492266,0.004346666,12.45373
-0.003300000000000001,-2.446933,0.004346666,12.4864
-0.0032499999999999994,-2.492266,0.01384,12.45587
-0.0032000000000000015,-2.4832,0.01432,12.46027
-0.00315,-2.446933,0.003386667,12.50373
-0.003100000000000002,-2.446933,0.002426666,12.49293
-0.0030500000000000006,-2.492266,0.01336,12.4624
-0.002999999999999999,-2.438133,0.01146667,12.4972
-0.0029500000000000012,-2.492266,0.002906666,12.4668
-0.0029,-2.492266,0.009093333,12.46027
-0.002850000000000002,-2.446933,0.001946667,12.49293
-0.0028000000000000004,-2.446933,0.001946667,12.4624
-0.002749999999999999,-2.492266,0.01336,12.49293
-0.002700000000000001,-2.4832,0.01573333,12.44947
-0.0026499999999999996,-2.4336,0.007653333,12.48853
-0.0026000000000000016,-2.446933,0.01621333,12.46467
-0.00255,-2.501333,0.00528,12.48853
-0.0024999999999999988,-2.501333,0.01194667,12.4516
-0.002450000000000001,-2.446933,0.001946667,12.4864
-0.0023999999999999994,-2.446933,0.002426666,12.45813
-0.0023500000000000014,-2.487733,0.009573333,12.49933
-0.0023,-2.424533,0.0148,12.49507
-0.002250000000000002,-2.487733,0.001946667,12.46027
-0.0022000000000000006,-2.438133,0.01194667,12.4864
-0.002149999999999999,-2.492266,0.003386667,12.45587
-0.002100000000000001,-2.487733,0.009093333,12.49293
-0.0020499999999999997,-2.451466,-0.00232,12.44947
-0.0020000000000000018,-2.424533,0.00576,12.46027
-0.0019500000000000003,-2.501333,-0.00184,12.48853
-0.001899999999999999,-2.446933,-0.0028,12.49293
-0.001850000000000001,-2.487733,0.003386667,12.46467
-0.0017999999999999995,-2.487733,0.002426666,12.45587
-0.0017500000000000016,-2.4424,-0.004213333,12.48853
-0.0017000000000000001,-2.4968,-0.0028,12.49293
-0.0016499999999999987,-2.446933,0.00624,12.4624
-0.0016000000000000007,-2.501333,0.00576,12.45373
-0.0015499999999999993,-2.446933,-0.0004266666,12.48853
-0.0015000000000000013,-2.4832,0.002426666,12.46467
-0.00145,-2.4424,-0.003733333,12.48853
-0.001400000000000002,-2.446933,-0.004693333,12.45813
-0.0013500000000000005,-2.4832,0.001493333,12.48853
-0.001299999999999999,-2.438133,-0.008506666,12.49507
-0.0012500000000000011,-2.4968,0.0005333333,12.46027
-0.0011999999999999997,-2.446933,0.0005333333,12.48853
-0.0011500000000000017,-2.4832,-0.006133333,12.45587
-0.0011000000000000003,-2.4832,-0.007546666,12.46467
-0.0010499999999999989,-2.446933,0.001013333,12.49067
-0.0010000000000000009,-2.446933,-0.004693333,12.48853
-0.0009499999999999995,-2.492266,0.004346666,12.45587
-0.0009000000000000015,-2.446933,0.003386667,12.4668
-0.0008500000000000001,-2.487733,-0.003733333,12.49507
-0.0007999999999999986,-2.451466,5.333333e-05,12.4864
-0.0007500000000000007,-2.487733,-0.006586666,12.45813
-0.0006999999999999992,-2.438133,0.001013333,12.46467
-0.0006500000000000013,-2.487733,-0.006586666,12.49293
-0.0005999999999999998,-2.446933,-0.007546666,12.45587
-0.0005500000000000019,-2.492266,0.001946667,12.4972
-0.0005000000000000004,-2.501333,0.001013333,12.4668
-0.000449999999999999,-2.446933,-0.004693333,12.50373
-0.00040000000000000105,-2.487733,-0.0004266666,12.46467
-0.0003499999999999996,-2.451466,-0.008986666,12.49293
-0.00030000000000000165,-2.501333,-0.009439999,12.49293
-0.0002500000000000002,-2.429066,0.001013333,12.4668
-0.0001999999999999988,-2.505867,-0.005173333,12.48853
-0.00015000000000000083,-2.438133,0.003866666,12.46027
-9.99999999999994e-05,-2.438133,0.006719999,12.46027
-5.000000000000143e-05,-2.492266,-0.003733333,12.49507
0.0,-2.487733,0.002906666,12.4864
5.000000000000143e-05,2.598133,-0.008506666,11.12387
9.99999999999994e-05,2.557333,-0.003733333,11.07173
0.00015000000000000083,2.507733,-0.01136,9.993999
0.0001999999999999988,2.557333,-0.01088,9.963599
0.0002500000000000002,2.498667,-0.00328,9.370399
0.0002999999999999982,2.507733,-0.00136,9.329065
0.0003499999999999996,2.5528,-0.009919999,9.0032
0.00040000000000000105,2.512266,-0.004213333,8.977066
0.000449999999999999,2.561867,-0.01229333,8.796799
0.0005000000000000004,2.512266,-0.0104,8.785866
0.0005499999999999984,2.557333,-0.003733333,8.683732
0.0005999999999999998,2.557333,-0.007066666,8.685865
0.0006500000000000013,2.521333,-0.01277333,8.605466
0.0006999999999999992,2.5528,-0.01325333,8.625066
0.0007500000000000007,2.507733,-0.003733333,8.561999
0.0007999999999999986,2.5032,-0.005173333,8.585999
0.0008500000000000001,2.557333,-0.01229333,8.544666
0.0009000000000000015,2.498667,-0.004693333,8.564266
0.0009499999999999995,2.557333,-0.01421333,8.522932
0.0010000000000000009,2.507733,-0.01229333,8.564266
0.0010499999999999989,2.575466,-0.005173333,8.512133
0.0011000000000000003,2.507733,-0.005173333,8.551199
0.0011499999999999982,2.557333,-0.01277333,8.5208
0.0011999999999999997,2.507733,-0.003733333,8.544666
0.0012500000000000011,2.575466,-0.01325333,8.512133
0.001299999999999999,2.557333,-0.005173333,8.535999
0.0013500000000000005,2.498667,-0.01229333,8.499065
0.0013999999999999985,2.507733,-0.01421333,8.538133
0.00145,2.561867,-0.00232,8.509866
0.0015000000000000013,2.5032,-0.003733333,8.549066
0.0015499999999999993,2.5664,-0.01229333,8.5208
0.0016000000000000007,2.5528,-0.01562667,8.549066
