Time (s),no_pump,no_pump,pump_1557.4654nm,pump_1557.4654nm,no_pump,no_pump,pump_1557.3nm,pump_1557.3nm,pump_1557.6nm,pump_1557.6nm
0.322,0.057119996000000006,0.057119996000000006,0.31879996,0.31879996,0.05013333,0.05013333,0.28181328,0.28181328,0.35578664,0.35578664
0.32205,0.049706662,0.049706662,0.23562664,0.23562664,0.048826664,0.048826664,0.21298664,0.21298664,0.26178664,0.26178664
0.3221,0.05013333,0.05013333,0.24741332000000002,0.24741332000000002,0.049253328,0.049253328,0.2208533,0.2208533,0.2652533,0.2652533
0.32215,0.052773327999999994,0.052773327999999994,0.18642662,0.18642662,0.041013332,0.041013332,0.16813329999999999,0.16813329999999999,0.19991995999999998,0.19991995999999998
0.32220000000000004,0.04749333,0.04749333,0.20079998,0.20079998,0.05186666399999999,0.05186666399999999,0.18642666000000002,0.18642666000000002,0.2160533,0.2160533
0.32225000000000004,0.047973329999999995,0.047973329999999995,0.15159998,0.15159998,0.044479996,0.044479996,0.13986665999999998,0.13986665999999998,0.15768,0.15768
0.32230000000000003,0.057119998000000005,0.057119998000000005,0.17247996,0.17247996,0.052746662,0.052746662,0.16375998,0.16375998,0.17466662,0.17466662
0.32235,0.037093329999999994,0.037093329999999994,0.13157332,0.13157332,0.037066664000000006,0.037066664000000006,0.11330666,0.11330666,0.12552002,0.12552002
0.3224,0.043173331999999995,0.043173331999999995,0.142000024,0.142000024,0.03709333,0.03709333,0.13770666,0.13770666,0.1554933,0.1554933
0.32245,0.05493332999999999,0.05493332999999999,0.11634666,0.11634666,0.06143999800000001,0.06143999800000001,0.096293328,0.096293328,0.11200000399999999,0.11200000399999999
0.3225,0.040559998,0.040559998,0.10850666,0.10850666,0.039253329999999996,0.039253329999999996,0.097626664,0.097626664,0.108053336,0.108053336
0.32255,0.06189333,0.06189333,0.48599996,0.48599996,0.05709333,0.05709333,0.5717866199999999,0.5717866199999999,0.369759944,0.369759944
0.3226,0.043626663999999996,0.043626663999999996,0.52173328,0.52173328,0.03663999799999999,0.03663999799999999,0.60007994,0.60007994,0.3993333,0.3993333
