Time (s),CH2 Voltage (V),CH3 Voltage (V)
-0.039200000000000006,0.08288666,0.05944666
-0.039,0.08357333,0.06044
-0.0388,0.08350666,0.06039999
-0.0386,0.0829,0.05946
-0.038400000000000004,0.08358666,0.05998
-0.038200000000000005,0.08294,0.05934
-0.038000000000000006,0.08295333,0.05992666
-0.0378,0.08358666,0.05864666
-0.0376,0.08359999,0.05912
-0.0374,0.08294,0.05805999
-0.0372,0.0829,0.05847999
-0.037000000000000005,0.08353332,0.05641333
-0.0368,0.08294,0.05687333
-0.03660000000000001,0.08357333,0.05572
-0.0364,0.08292666,0.05636
-0.036199999999999996,0.08354666,0.05486
-0.036000000000000004,0.08296666,0.0553
-0.0358,0.08357333,0.05408666
-0.03560000000000001,0.08357333,0.05463333
-0.0354,0.08295333,0.05343333
-0.03520000000000001,0.08357333,0.05385333
-0.035,0.08291332,0.05287333
-0.0348,0.08294,0.05308
-0.034600000000000006,0.08356,0.05497333
-0.0344,0.08356,0.05448
-0.03420000000000001,0.08292666,0.05542
-0.034,0.08354666,0.055
-0.0338,0.08294,0.05744666
-0.033600000000000005,0.08357333,0.05693333
-0.0334,0.08296666,0.05827999
-0.03320000000000001,0.08361333,0.05776
-0.033,0.08296666,0.05952666
-0.032799999999999996,0.08358666,0.05908
-0.032600000000000004,0.0829,0.06050666
-0.0324,0.08349333,0.06000666
-0.032200000000000006,0.08283333,0.06114666
-0.032,0.08346666,0.06061999
-0.03180000000000001,0.08287333,0.06132666
-0.0316,0.08283333,0.06142
-0.0314,0.08347999,0.06052
-0.031200000000000006,0.08342666,0.06101333
-0.031,0.08275333,0.05939333
-0.030800000000000008,0.08337333,0.05995333
-0.030600000000000002,0.08271333,0.05928666
-0.030399999999999996,0.08279333,0.05986666
-0.030200000000000005,0.08343999,0.05803333
-0.03,0.08275333,0.05847999
-0.029800000000000007,0.0834,0.05774666
-0.0296,0.08283333,0.05842666
-0.029399999999999996,0.08349333,0.05686
-0.029200000000000004,0.08291332,0.05736666
-0.028999999999999998,0.08354666,0.05660666
-0.028800000000000006,0.08297999,0.0572
-0.0286,0.08359999,0.05641333
-0.02840000000000001,0.08304666,0.05638666
-0.028200000000000003,0.08365333,0.05731333
-0.027999999999999997,0.08368,0.05726
-0.027800000000000005,0.08299333,0.05607333
-0.0276,0.08366666,0.05655999
-0.027400000000000008,0.08300666,0.05582666
-0.027200000000000002,0.08362666,0.05655999
-0.026999999999999996,0.08306,0.05542
-0.026800000000000004,0.08368,0.05586666
-0.0266,0.08299333,0.05479333
-0.026400000000000007,0.08299333,0.05478
-0.0262,0.08358666,0.05540666
-0.025999999999999995,0.08295333,0.05539333
-0.025800000000000003,0.08361333,0.05468666
-0.025599999999999998,0.08291332,0.05483333
-0.025400000000000006,0.08357333,0.05678
-0.0252,0.08301999,0.05636
-0.02500000000000001,0.08366666,0.05773333
-0.024800000000000003,0.08365333,0.05709333
-0.024599999999999997,0.08301999,0.05812666
