Time (s),Voltage (V)
0.97,0.8483999
0.972,0.1956666
0.974,0.8267332
0.976,0.2043333
0.978,0.8581999
0.98,0.8321999
0.982,0.2
0.984,0.8397332
0.986,0.2010666
0.988,0.2010666
0.99,0.7931333
0.992,0.1934666
0.994,0.8408666
0.996,0.7302666
0.998,0.2021333
1.0,0.1978
1.002,0.7367333
1.004,0.2021333
1.006,0.7811999
1.008,0.2010666
1.01,0.7410666
1.012,0.2032
1.014,0.7583999
1.016,0.2
1.018,0.8353999
1.02,0.2021333
1.022,0.8277999
1.024,0.1967333
1.026,0.8159332
1.028,0.2010666
1.03,0.8104666
1.032,0.2032
1.034,0.8646666
1.036,0.2010666
1.038,0.7616666
1.04,0.7898666
1.042,0.1978
1.044,0.7811999
1.046,0.1956666
1.048,0.1988667
1.05,0.7377999
1.052,0.2032
1.054,0.7725332
1.056,0.2
1.058,0.7258666
1.06,0.1967333
1.062,0.7985333
1.064,0.2010666
1.066,0.7583999
1.068,0.8755332
1.07,0.2010666
1.072,0.8277999
1.074,0.2043333
1.076,0.2021333
1.078,0.8625333
1.08,0.9047999
1.082,0.1902
1.084,0.2032
1.086,0.8429999
1.088,0.2032
1.09,0.8495333
1.092,0.2054
1.094,0.7974666
1.096,0.1978
1.098,0.7529999
1.1,0.2010666
1.102,0.7183332
1.104,0.7367333
1.106,0.1978
1.108,0.1967333
1.11,0.7529999
1.112,0.1956666
1.114,0.7714666
1.116,0.1988667
1.118,0.8234666
1.12,0.1978
1.122,0.8191333
1.124,0.2054
1.1260000000000001,0.8365332
1.1280000000000001,0.2021333
1.1300000000000001,0.8777332
1.1320000000000001,0.1945333
1.1340000000000001,0.8213332
1.1360000000000001,0.7649333
1.1380000000000001,0.2010666
1.1400000000000001,0.1956666
1.1420000000000001,0.8126666
1.1440000000000001,0.8744666
1.1460000000000001,0.1967333
1.1480000000000001,0.2
1.1500000000000001,0.7735999
1.1520000000000001,0.8516666
1.154,0.2054
1.156,0.2010666
1.158,0.7746666
1.16,0.2032
1.162,0.7649333
1.164,0.1956666
1.166,0.7421333
1.168,0.8191333
1.17,0.2010666
1.172,0.1978
1.174,0.7920666
1.176,0.2010666
1.178,0.8353999
1.18,0.1945333
1.182,0.8299999
1.184,0.2032
1.186,0.8646666
1.188,0.2
1.19,0.8234666
1.192,0.2010666
1.194,0.8277999
1.196,0.2054
1.198,0.7887999
1.2,0.7671332
1.202,0.1967333
1.204,0.1988667
1.206,0.7280666
1.208,0.7367333
1.21,0.2010666
1.212,0.2
1.214,0.7649333
1.216,0.1978
1.218,0.7410666
1.22,0.2
1.222,0.7779332
1.224,0.2010666
1.226,0.7941999
1.228,0.2
1.23,0.8483999
1.232,0.1945333
1.234,0.8538666
1.236,0.8711999
1.238,0.2010666
1.24,0.1978
1.242,0.8516666
1.244,0.1988667
1.246,0.8787999
1.248,0.2021333
1.25,0.8744666
1.252,0.2
1.254,0.7768666
1.256,0.2010666
1.258,0.7757999
1.26,0.2032
1.262,0.7345999
1.264,0.7377999
1.266,0.1978
1.268,0.2
1.27,0.7323999
1.272,0.2
1.274,0.7725332
1.276,0.2010666
1.278,0.8483999
1.28,0.2021333
1.282,0.8169999
1.284,0.1988667
1.286,0.8071999
1.288,0.2010666
1.29,0.8787999
1.292,0.2010666
1.294,0.8538666
1.296,0.2032
1.298,0.8147999
1.3,0.8289332
1.302,0.2064666
1.304,0.1956666
1.306,0.8332666
1.308,0.1967333
1.31,0.8191333
1.312,0.1978
1.314,0.7920666
1.316,0.7616666
1.318,0.2010666
1.32,0.1978
1.322,0.7486666
1.324,0.2032
1.326,0.7909333
1.328,0.1934666
1.33,0.7725332
1.332,0.8267332
1.334,0.2010666
1.336,0.2
1.338,0.8787999
1.34,0.8646666
1.342,0.2
1.344,0.2
1.346,0.8722666
1.348,0.2010666
1.35,0.8722666
1.352,0.2
1.354,0.8961332
1.356,0.2032
1.358,0.8483999
1.36,0.2
1.362,0.8104666
1.364,0.1945333
1.366,0.7519333
1.368,0.1945333
1.37,0.7757999
1.372,0.2010666
1.374,0.7964
1.3760000000000001,0.7681999
1.3780000000000001,0.2
1.3800000000000001,0.2
1.3820000000000001,0.7920666
1.3840000000000001,0.1988667
1.3860000000000001,0.8126666
1.3880000000000001,0.1988667
1.3900000000000001,0.8277999
1.3920000000000001,0.1988667
1.3940000000000001,0.8343332
1.3960000000000001,0.8668666
1.3980000000000001,0.2021333
1.4000000000000001,0.2032
1.4020000000000001,0.8668666
1.4040000000000001,0.2032
1.4060000000000001,0.9145999
1.408,0.2032
1.41,0.8462666
1.412,0.2010666
1.414,0.8126666
1.416,0.1978
1.418,0.8321999
1.42,0.1956666
1.422,0.7389333
1.424,0.8017999
1.426,0.2010666
1.428,0.1967333
1.43,0.7757999
1.432,0.2021333
1.434,0.8256666
1.436,0.1902
1.438,0.7454
1.44,0.1978
1.442,0.8289332
1.444,0.2010666
1.446,0.8571333
1.448,0.1934666
1.45,0.8722666
1.452,0.1924
1.454,0.8559999
1.456,0.2021333
1.458,0.8483999
1.46,0.2032
1.462,0.8462666
1.464,0.1956666
1.466,0.8213332
1.468,0.2010666
1.47,0.8429999
1.472,0.2010666
1.474,0.7703332
1.476,0.2
1.478,0.8191333
1.48,0.1967333
1.482,0.7844666
1.484,0.2021333
1.486,0.8234666
1.488,0.1978
1.49,0.8343332
1.492,0.8343332
1.494,0.1934666
1.496,0.1988667
1.498,0.8083333
1.5,0.8429999
1.502,0.2043333
1.504,0.2010666
1.506,0.8039999
1.508,0.2010666
1.51,0.8571333
1.512,0.2032
1.514,0.8234666
1.516,0.2043333
1.518,0.8549333
1.52,0.8299999
1.522,0.2
1.524,0.1924
1.526,0.8397332
1.528,0.8267332
1.53,0.2010666
1.532,0.2
1.534,0.8039999
1.536,0.7865999
1.538,0.1967333
1.54,0.2
1.542,0.8375999
1.544,0.7941999
1.546,0.2021333
1.548,0.1978
1.55,0.8495333
1.552,0.2064666
1.554,0.8538666
1.556,0.2054
1.558,0.8505999
1.56,0.8408666
1.562,0.2054
1.564,0.1988667
1.566,0.8289332
1.568,0.8657999
1.57,0.2
1.572,0.1978
1.574,0.7627999
1.576,0.2032
1.578,0.8592666
1.58,0.2021333
1.582,0.7703332
1.584,0.2043333
1.586,0.8147999
1.588,0.7877333
1.59,0.1978
1.592,0.8571333
1.594,0.2064666
1.596,0.2043333
1.598,0.7768666
1.6,0.2032
1.602,0.8483999
1.604,0.2032
1.606,0.7540666
1.608,0.2032
1.61,0.8429999
1.612,0.2010666
1.614,0.8353999
1.616,0.2064666
1.618,0.8516666
1.62,0.1945333
1.622,0.8429999
1.624,0.2076
1.6260000000000001,0.8310666
1.6280000000000001,0.2032
1.6300000000000001,0.8483999
1.6320000000000001,0.2010666
1.6340000000000001,0.8083333
1.6360000000000001,0.2054
1.6380000000000001,0.8126666
1.6400000000000001,0.2021333
1.6420000000000001,0.8159332
1.6440000000000001,0.2032
1.6460000000000001,0.8050666
1.6480000000000001,0.1988667
1.6500000000000001,0.8234666
1.6520000000000001,0.2054
1.6540000000000001,0.8538666
1.6560000000000001,0.2032
1.6580000000000001,0.8299999
1.6600000000000001,0.8538666
1.6620000000000001,0.2054
1.6640000000000001,0.1988667
1.666,0.7692666
1.668,0.2043333
1.67,0.8571333
1.672,0.2043333
1.674,0.8267332
1.676,0.2064666
1.678,0.8549333
1.68,0.8365332
1.682,0.1945333
1.684,0.1956666
1.686,0.8310666
1.688,0.8137333
1.69,0.1988667
1.692,0.2032
1.694,0.8191333
1.696,0.2021333
1.698,0.7941999
1.7,0.2
1.702,0.8462666
1.704,0.8159332
1.706,0.2054
1.708,0.2032
1.71,0.8408666
1.712,0.8451999
1.714,0.2043333
1.716,0.2054
1.718,0.8429999
1.72,0.2021333
1.722,0.8213332
1.724,0.8419333
1.726,0.1988667
1.728,0.1978
1.73,0.8375999
1.732,0.1988667
1.734,0.8267332
1.736,0.8451999
1.738,0.2064666
1.74,0.2
1.742,0.7789999
1.744,0.8169999
1.746,0.2043333
1.748,0.2021333
1.75,0.8028666
1.752,0.8505999
1.754,0.2010666
1.756,0.2021333
1.758,0.7898666
1.76,0.2
1.762,0.8408666
1.764,0.2010666
1.766,0.7865999
1.768,0.2
1.77,0.8245999
1.772,0.2
1.774,0.8234666
1.776,0.2010666
1.778,0.8332666
1.78,0.8397332
1.782,0.2032
1.784,0.1956666
1.786,0.8234666
1.788,0.8299999
1.79,0.2010666
1.792,0.1978
1.794,0.8213332
1.796,0.1956666
1.798,0.8289332
1.8,0.1967333
1.802,0.8245999
1.804,0.8104666
1.806,0.2
1.808,0.2
1.81,0.8299999
1.812,0.1967333
1.814,0.8440666
1.816,0.1967333
1.818,0.8137333
1.82,0.2054
1.822,0.8234666
1.824,0.8061333
1.826,0.1967333
1.828,0.1913333
1.83,0.8137333
1.832,0.1988667
1.834,0.8299999
1.836,0.2010666
1.838,0.8343332
1.84,0.2
1.842,0.8191333
1.844,0.2021333
1.846,0.8353999
1.848,0.8083333
1.85,0.1967333
1.852,0.1988667
1.854,0.8093999
1.856,0.1978
1.858,0.8147999
1.86,0.8191333
1.862,0.1978
1.864,0.2010666
1.866,0.7964
1.868,0.2
1.87,0.8017999
1.872,0.2032
1.874,0.8256666
1.8760000000000001,0.1978
1.8780000000000001,0.8180666
1.8800000000000001,0.2
1.8820000000000001,0.8104666
1.8840000000000001,0.1988667
1.8860000000000001,0.7996666
1.8880000000000001,0.8213332
1.8900000000000001,0.2
1.8920000000000001,0.2010666
1.8940000000000001,0.7735999
1.8960000000000001,0.2
1.8980000000000001,0.8202666
1.9000000000000001,0.2
1.9020000000000001,0.7801332
1.9040000000000001,0.8234666
1.9060000000000001,0.2
1.9080000000000001,0.1967333
1.9100000000000001,0.7941999
1.9120000000000001,0.2
1.9140000000000001,0.8223999
1.9160000000000001,0.1924
1.9180000000000001,0.7649333
1.92,0.1988667
1.922,0.8126666
1.924,0.7540666
1.926,0.2032
1.928,0.2010666
1.93,0.8159332
1.932,0.8159332
1.934,0.2021333
1.936,0.2
1.938,0.8071999
1.94,0.1978
1.942,0.8104666
1.944,0.1988667
1.946,0.8137333
1.948,0.8093999
1.95,0.2010666
1.952,0.2021333
1.954,0.7974666
1.956,0.2010666
1.958,0.8245999
1.96,0.2010666
1.962,0.8104666
1.964,0.1967333
1.966,0.7974666
1.968,0.2010666
1.97,0.8093999
1.972,0.8126666
1.974,0.2010666
1.976,0.1945333
1.978,0.7941999
1.98,0.2010666
1.982,0.8028666
1.984,0.2
1.986,0.7562666
1.988,0.2010666
1.99,0.7985333
1.992,0.7671332
1.994,0.2
1.996,0.1902
1.998,0.3094666
2.0,0.3268666
2.0020000000000002,0.8473333
2.004,0.2032
2.0060000000000002,0.8841999
2.008,0.8191333
2.0100000000000002,0.1978
2.012,0.2043333
2.0140000000000002,0.8787999
2.016,0.2
2.0180000000000002,0.8375999
2.02,0.2032
2.0220000000000002,0.8353999
2.024,0.7454
2.0260000000000002,0.1967333
2.028,0.2032
2.0300000000000002,0.8093999
2.032,0.2032
2.0340000000000003,0.7833999
2.036,0.2032
2.0380000000000003,0.8245999
2.04,0.7887999
2.0420000000000003,0.1967333
2.044,0.2032
2.0460000000000003,0.9069999
2.048,0.2043333
2.05,0.8083333
2.052,0.2054
2.054,0.8690666
2.056,0.2010666
2.058,0.8353999
2.06,0.2032
2.062,0.8928666
2.064,0.8343332
2.066,0.2032
2.068,0.2043333
2.07,0.8451999
2.072,0.8755332
2.074,0.2032
2.076,0.2
2.078,0.7649333
2.08,0.2010666
2.082,0.8007333
2.084,0.2032
2.086,0.7801332
2.088,0.7377999
2.09,0.2
2.092,0.2021333
2.094,0.8668666
2.096,0.7432666
2.098,0.2054
2.1,0.8505999
2.102,0.2010666
2.104,0.2086667
2.106,0.9080666
2.108,0.1945333
2.11,0.8299999
2.112,0.1978
2.114,0.8690666
2.116,0.1988667
2.118,0.8191333
2.12,0.2043333
2.122,0.8809332
2.124,0.1945333
2.126,0.7811999
2.128,0.2032
2.13,0.8419333
2.132,0.1978
2.134,0.7638666
2.136,0.2086667
2.138,0.8007333
2.14,0.7454
2.142,0.1945333
2.144,0.2010666
2.146,0.8245999
2.148,0.2010666
2.15,0.8559999
2.152,0.2010666
2.154,0.8571333
2.156,0.2054
2.158,0.8365332
2.16,0.2054
2.162,0.9113333
2.164,0.1956666
2.166,0.8462666
2.168,0.2021333
2.17,0.8559999
2.172,0.9004666
2.174,0.2032
2.176,0.2032
2.178,0.8050666
2.18,0.2032
2.182,0.8267332
2.184,0.2032
2.186,0.7671332
2.188,0.2010666
2.19,0.7519333
2.192,0.1967333
2.194,0.7952666
2.196,0.7920666
2.198,0.2
2.2,0.8419333
2.202,0.2032
2.204,0.2064666
2.206,0.9319332
2.208,0.2010666
2.21,0.8451999
2.212,0.2
2.214,0.8375999
2.216,0.2054
2.218,0.8603333
2.22,0.2032
2.222,0.8907332
2.224,0.2010666
2.226,0.8668666
2.228,0.1978
2.23,0.7659999
2.232,0.8625333
2.234,0.2054
2.236,0.2032
2.238,0.7562666
2.24,0.7725332
2.242,0.2010666
2.244,0.2010666
2.246,0.8093999
2.248,0.1934666
2.25,0.7529999
2.2520000000000002,0.1988667
2.254,0.8223999
2.2560000000000002,0.2021333
2.258,0.8516666
2.2600000000000002,0.8321999
