Time (s),Voltage (V),Frequency (Hz),Magnitude (dB)
-1.4,0.14728,0.0,41.89236121161956
-1.3980000000000001,0.11228,0.0,41.89236121161956
-1.396,0.11594,0.0,41.89236121161956
-1.3940000000000001,0.10614,0.0,41.89236121161956
-1.392,0.1067867,0.0,41.89236121161956
-1.3900000000000001,0.1481467,0.0,41.89236121161956
-1.388,0.1475,0.0,41.89236121161956
-1.3860000000000001,0.10646,0.0,41.89236121161956
-1.384,0.10668,0.0,41.89236121161956
-1.3820000000000001,0.1449133,0.0,41.89236121161956
-1.38,0.14868,0.0,41.89236121161956
-1.3780000000000001,0.11206,0.0,41.89236121161956
-1.376,0.11594,0.0,41.89236121161956
-1.374,0.1065667,0.0,41.89236121161956
-1.3719999999999999,0.1063533,0.0,41.89236121161956
-1.37,0.1489,0.0,41.89236121161956
-1.3679999999999999,0.1451267,0.0,41.89236121161956
-1.366,0.1065667,0.0,41.89236121161956
-1.3639999999999999,0.1068933,0.0,41.89236121161956
-1.362,0.1491133,0.0,41.89236121161956
-1.3599999999999999,0.1490066,0.0,41.89236121161956
-1.358,0.1126,0.0,41.89236121161956
-1.3559999999999999,0.11594,0.0,41.89236121161956
-1.354,0.1065667,0.0,41.89236121161956
-1.3519999999999999,0.1067867,0.0,41.89236121161956
-1.35,0.1461,0.0,41.89236121161956
-1.3479999999999999,0.1463133,0.0,41.89236121161956
-1.346,0.10646,0.0,41.89236121161956
-1.3439999999999999,0.1065667,0.0,41.89236121161956
-1.342,0.1461,0.0,41.89236121161956
-1.3399999999999999,0.14728,0.0,41.89236121161956
-1.338,0.11228,0.0,41.89236121161956
-1.3359999999999999,0.1157267,0.0,41.89236121161956
-1.334,0.10646,0.0,41.89236121161956
-1.3319999999999999,0.1071067,0.0,41.89236121161956
-1.33,0.14556,0.0,41.89236121161956
-1.3279999999999998,0.14502,0.0,41.89236121161956
-1.326,0.1072133,0.0,41.89236121161956
-1.3239999999999998,0.1065667,0.0,41.89236121161956
-1.322,0.1461,0.0,41.89236121161956
-1.3199999999999998,0.1463133,0.0,41.89236121161956
-1.318,0.1127067,0.0,41.89236121161956
-1.3159999999999998,0.11626,0.0,41.89236121161956
-1.314,0.1068933,0.0,41.89236121161956
-1.3119999999999998,0.107,0.0,41.89236121161956
-1.31,0.14696,0.0,41.89236121161956
-1.3079999999999998,0.1443733,0.0,41.89236121161956
-1.306,0.1068933,0.0,41.89236121161956
-1.3039999999999998,0.1067867,0.0,41.89236121161956
-1.302,0.14362,0.0,41.89236121161956
-1.2999999999999998,0.1468533,0.0,41.89236121161956
-1.298,0.1129267,0.0,41.89236121161956
-1.296,0.1165867,0.0,41.89236121161956
-1.294,0.1065667,0.0,41.89236121161956
-1.292,0.1071067,0.0,41.89236121161956
-1.29,0.14804,0.0,41.89236121161956
-1.288,0.1477133,0.0,41.89236121161956
-1.286,0.1062467,0.0,41.89236121161956
-1.284,0.10646,0.0,41.89236121161956
-1.282,0.1463133,0.0,41.89236121161956
-1.28,0.1473933,0.0,41.89236121161956
-1.278,0.1130333,0.0,41.89236121161956
-1.276,0.11626,0.0,41.89236121161956
-1.274,0.107,0.0,41.89236121161956
-1.272,0.1074333,0.0,41.89236121161956
-1.27,0.14588,0.0,41.89236121161956
-1.268,0.1457733,0.0,41.89236121161956
