Time (s),no_pump,pump_1552.4385nm,no_pump,pump_1551nm,pump_1556nm
6.45e-05,0.0848,0.08671333,0.09309333,0.08569999,0.1005133
6.5e-05,0.08478666,0.086,0.09309333,0.08631999,0.09979999
6.549999999999999e-05,0.08402,0.08675332,0.09388666,0.08568666,0.10058
6.599999999999999e-05,0.08477332,0.08672666,0.09310666,0.08634666,0.09979999
6.65e-05,0.08403333,0.086,0.09392666,0.08569999,0.1006467
6.7e-05,0.08403333,0.08595333,0.09314666,0.08572666,0.1006467
6.75e-05,0.08478666,0.08676666,0.0939,0.08633333,0.09987999
6.8e-05,0.08402,0.08596666,0.09310666,0.08569999,0.10062
6.85e-05,0.08476,0.08673999,0.09393999,0.08638666,0.09990666
6.9e-05,0.08476,0.08604,0.09313333,0.08631999,0.09989332
6.95e-05,0.08405999,0.08681999,0.09393999,0.08568666,0.1006867
7e-05,0.08478666,0.086,0.09307999,0.08564666,0.1006333
7.049999999999999e-05,0.08403333,0.08675332,0.09392666,0.08639999,0.09983999
7.099999999999999e-05,0.08407333,0.08688666,0.09314666,0.08569999,0.09994666
7.15e-05,0.08481333,0.08601332,0.09391332,0.08634666,0.1006733
7.2e-05,0.08411333,0.08680666,0.09388666,0.08633333,0.09994666
7.25e-05,0.08481333,0.08606666,0.09307999,0.08566,0.1007133
7.3e-05,0.08408666,0.08678,0.09391332,0.08572666,0.1006467
7.35e-05,0.08490666,0.08602666,0.09307999,0.08637333,0.09993333
7.4e-05,0.08409999,0.08683333,0.09309333,0.08635999,0.1006467
7.45e-05,0.08478666,0.08602666,0.09392666,0.08568666,0.09993333
7.5e-05,0.08409999,0.08607999,0.09384666,0.08571333,0.1006333
7.549999999999999e-05,0.08482666,0.08679333,0.09306666,0.08637333,0.09991999
7.599999999999999e-05,0.08414,0.08606666,0.09305333,0.08639999,0.09990666
7.65e-05,0.08485333,0.08683333,0.09387333,0.08571333,0.1006733
7.7e-05,0.08483999,0.08607999,0.09307999,0.08571333,0.1005933
7.75e-05,0.08412666,0.08680666,0.09385999,0.08644,0.09991999
7.8e-05,0.08482666,0.08602666,0.09306666,0.08572666,0.09993333
7.85e-05,0.08411333,0.08680666,0.09391332,0.08642666,0.1007267
7.9e-05,0.08415332,0.08606666,0.09309333,0.08639999,0.09994666
7.95e-05,0.0848,0.08687333,0.09387333,0.08571333,0.10066
7.999999999999999e-05,0.08486666,0.08687333,0.09310666,0.08634666,0.09991999
8.049999999999999e-05,0.08411333,0.08602666,0.0939,0.08575333,0.1007
8.099999999999999e-05,0.08412666,0.08606666,0.09388666,0.08575333,0.09993333
