Time (s),CH1 (V)
0.034408,-4.942
0.034408999999999995,-5.142
0.034409999999999996,-4.919333
0.034411,-5.22
0.034412,-5.12
0.034413,-4.886
0.034414,-4.886
0.034415,-5.130667
0.034415999999999995,-5.12
0.034416999999999996,-4.952667
0.034418,-5.153333
0.034419,-4.952667
0.03442,-4.886
0.034421,-5.130667
0.034422,-5.108666
0.034422999999999995,-4.908667
0.034423999999999996,-4.919333
0.034425,-5.075333
0.034426,-5.12
0.034427,-4.897333
0.034428,-5.108666
0.034429,-4.842
0.034429999999999995,-4.864
0.034430999999999996,-5.12
0.034432,-5.142
0.034433,-4.864
0.034434,-5.075333
0.034435,-4.930666
0.034436,-5.086667
0.034436999999999995,-4.919333
0.034437999999999996,-4.930666
0.034439,-5.12
0.03444,-5.064
0.034441,-4.842
0.034442,-4.897333
0.034443,-5.086667
0.034443999999999995,-5.064
0.034444999999999996,-4.886
0.034446,-4.952667
0.034447,-5.086667
0.034448,-5.086667
0.034449,-4.864
0.03445,-4.852666
0.034450999999999996,-5.12
0.034451999999999997,-4.908667
0.034453,-5.064
0.034454,-4.797333
0.034455,-5.108666
0.034456,-5.12
0.034457,-4.908667
0.034457999999999996,-4.864
0.034459,-5.153333
0.03446,-5.064
0.034461,-4.886
0.034462,-5.086667
0.034463,-4.897333
0.034464,-5.108666
0.034464999999999996,-4.852666
0.034466,-5.064
0.034467,-4.897333
0.034468,-5.12
0.034469,-4.908667
0.03447,-5.086667
0.034471,-4.852666
0.034471999999999996,-4.897333
0.034473,-5.086667
0.034474,-5.12
0.034475,-4.919333
0.034476,-5.086667
0.034477,-4.842
0.034478,-5.053333
0.034478999999999996,-4.908667
0.03448,-4.908667
0.034481,-5.108666
0.034482,-4.897333
0.034483,-5.086667
0.034484,-5.064
0.034485,-4.897333
0.034485999999999996,-4.908667
0.034487,-5.12
0.034488,-5.086667
0.034489,-4.875333
0.03449,-4.852666
0.034491,-5.042
0.034492,-4.842
0.034492999999999996,-5.075333
0.034494,-5.075333
0.034495,-4.886
0.034496,-4.897333
0.034497,-5.130667
0.034498,-4.886
0.034499,-5.064
0.034499999999999996,-4.908667
0.034501,5.082
0.034502,4.926
0.034503,5.170667
0.034504,5.170667
0.034505,4.992667
0.034505999999999995,4.937333
0.034506999999999996,5.182
0.034508,5.015333
0.034509,5.148666
0.03451,4.914667
0.034511,5.204
0.034512,4.959333
0.034512999999999995,5.182
0.034513999999999996,5.226666
0.034515,4.959333
0.034516,4.948
0.034517,5.204
0.034518,4.982
0.034519,5.204
0.034519999999999995,4.926
0.034520999999999996,5.226666
0.034522,4.904
0.034523,5.170667
0.034524,5.16
0.034525,4.959333
0.034526,5.204
0.034526999999999995,4.892667
0.034527999999999996,4.948
0.034529,5.126
0.03453,5.170667
0.034531,4.914667
0.034532,4.937333
0.034533,5.148666
0.034533999999999995,5.126
0.034534999999999996,4.926
0.034536,4.904
0.034537,5.137333
0.034538,5.182
0.034539,4.948
0.03454,5.126
0.034540999999999995,4.937333
0.034541999999999996,5.148666
