Time (s),no_pump,no_pump,pump_1552.4425nm,pump_1552.4425nm,no_pump,no_pump,pump_1552.2nm,pump_1552.2nm,pump_1552.6nm,pump_1552.6nm
0.0078000000000000005,0.11919826,0.11919826,0.14932878,0.14932878,0.13323678,0.13323678,0.1447184,0.1447184,0.13582918,0.13582918
0.007810000000000001,0.11881667999999998,0.11881667999999998,0.1493861,0.1493861,0.13132038,0.13132038,0.14613786,0.14613786,0.13461678,0.13461678
0.00782,0.11885932000000002,0.11885932000000002,0.14938796,0.14938796,0.13123252,0.13123252,0.14618388,0.14618388,0.13455012000000002,0.13455012000000002
0.00783,0.11959612000000001,0.11959612000000001,0.14925196000000002,0.14925196000000002,0.12940572,0.12940572,0.14457932,0.14457932,0.13326612,0.13326612
0.007840000000000001,0.1196512,0.1196512,0.149164,0.149164,0.12930735999999998,0.12930735999999998,0.14445492,0.14445492,0.13319679999999998,0.13319679999999998
0.007850000000000001,0.1212228,0.1212228,0.14867946,0.14867946,0.12764560000000003,0.12764560000000003,0.14210331999999998,0.14210331999999998,0.13209962,0.13209962
0.00786,0.1213196,0.1213196,0.14863944,0.14863944,0.1275824,0.1275824,0.14199022,0.14199022,0.13204533999999998,0.13204533999999998
0.00787,0.12317081999999999,0.12317081999999999,0.14816440000000003,0.14816440000000003,0.12610706,0.12610706,0.13974706,0.13974706,0.13116598,0.13116598
0.00788,0.12327574000000001,0.12327574000000001,0.14813294,0.14813294,0.12606066,0.12606066,0.13962256,0.13962256,0.13113144,0.13113144
0.007890000000000001,0.1251856,0.1251856,0.14790732,0.14790732,0.12557812,0.12557812,0.13756600000000002,0.13756600000000002,0.13121317999999998,0.13121317999999998
0.0079,0.12528732,0.12528732,0.1478844,0.1478844,0.12555346,0.12555346,0.13748158,0.13748158,0.13122920000000002,0.13122920000000002
0.00791,0.12714602,0.12714602,0.1475968,0.1475968,0.12642574,0.12642574,0.13559322000000001,0.13559322000000001,0.13181665999999997,0.13181665999999997
0.00792,0.12748708,0.12748708,0.14755997999999998,0.14755997999999998,0.12649733999999999,0.12649733999999999,0.13550560000000003,0.13550560000000003,0.1318584,0.1318584
0.007930000000000001,0.12775238,0.12775238,0.14721186,0.14721186,0.12808892,0.12808892,0.13407346,0.13407346,0.13278692,0.13278692
0.007940000000000001,0.12775116000000003,0.12775116000000003,0.14720934,0.14720934,0.1281816,0.1281816,0.13400014,0.13400014,0.13285026,0.13285026
