Time (s),no_pump,pump_1552.4425nm,no_pump,pump_1552.2nm,pump_1552.6nm
0.02475,0.13675469999999998,0.16192106,0.13735400000000003,0.15297052,0.14843172
0.02476,0.13675469999999998,0.1618168,0.13722456,0.15278292,0.14834572
0.02477,0.13675469999999998,0.15981376,0.13495597999999998,0.15060908,0.14668546
0.024780000000000003,0.13675469999999998,0.1597184,0.13484668000000002,0.15049398,0.14662038
0.024790000000000003,0.13675469999999998,0.15786064,0.13300362,0.14855748,0.14520786000000002
0.024800000000000003,0.13675469999999998,0.15778198,0.13290546,0.148448,0.14514692
0.024810000000000002,0.13675469999999998,0.15624640000000004,0.1313072,0.14716532,0.1442756
0.024820000000000002,0.13675469999999998,0.15619226000000003,0.13123106,0.14709906,0.14426811999999997
0.02483,0.13675469999999998,0.15503106,0.13021491999999998,0.14631906,0.1439792
0.02484,0.13675469999999998,0.15498599999999998,0.13018866,0.14630665999999998,0.1439741
0.02485,0.13675469999999998,0.15431999999999998,0.12996108,0.14619317999999998,0.14441014
0.024860000000000004,0.13675469999999998,0.15432374,0.12992065999999997,0.14618132,0.14448944000000002
0.024870000000000003,0.13675469999999998,0.15473437999999998,0.13086906,0.14714132,0.14577482
0.024880000000000003,0.13675469999999998,0.15479837999999999,0.13095654000000004,0.14723146,0.14585266
0.024890000000000002,0.13675469999999998,0.15617344000000002,0.13297066,0.1490864,0.14756545999999998
0.024900000000000002,0.13675469999999998,0.15625706,0.13311866,0.1491899,0.14766252
0.02491,0.13675469999999998,0.15810598000000003,0.1355796,0.15138692,0.14949278000000002
0.02492,0.13675469999999998,0.15818611999999999,0.13569252,0.1514896,0.14955729999999998
0.02493,0.13675469999999998,0.16013145999999998,0.13795666,0.15344612000000002,0.15086863999999997
0.02494,0.13675469999999998,0.16022334,0.13795427999999998,0.15338986,0.15091224
0.024950000000000003,0.13675469999999998,0.16188092,0.13923122000000002,0.1546536,0.15144011999999998
0.024960000000000003,0.13675469999999998,0.1619736,0.13919172,0.15471614,0.15148294
0.024970000000000003,0.13675469999999998,0.16315251999999997,0.13967052,0.15510465999999998,0.15111639999999998
0.024980000000000002,0.13675469999999998,0.16317225999999999,0.13976678,0.15510253999999998,0.15103504
0.024990000000000002,0.13675469999999998,0.16289346,0.13864106,0.15433934,0.1495392
0.025,0.13675469999999998,0.16280504,0.13846905999999998,0.15416970000000002,0.14943049999999997
0.02501,0.13675469999999998,0.16102850000000002,0.13612626,0.15217078,0.14759334000000002
0.02502,0.13675469999999998,0.16092892,0.1360004,0.15205384,0.14750117999999998
0.025030000000000004,0.13675469999999998,0.15911532,0.13393254,0.150092,0.1458992
0.025040000000000003,0.13675469999999998,0.15902344,0.13384627999999998,0.14999784,0.14581840000000001
0.025050000000000003,0.13675469999999998,0.15752850000000002,0.13209759999999998,0.14834358000000003,0.14460972
0.025060000000000002,0.13675469999999998,0.15746466,0.1320236,0.14832092000000002,0.14453825999999997
0.025070000000000002,0.13675469999999998,0.156212,0.13062427999999998,0.14735022,0.14392983999999998
0.02508,0.13675469999999998,0.15616028,0.13057588,0.14731307999999999,0.14389078000000002
0.02509,0.13675469999999998,0.1552976,0.13001452000000002,0.14685854000000004,0.14389732
0.0251,0.13675469999999998,0.15522466000000001,0.12998906000000002,0.1468444,0.14391704
0.02511,0.13675469999999998,0.1551809,0.13016986,0.14733508,0.1447692
0.025120000000000003,0.13675469999999998,0.1552068,0.13024282,0.1473989,0.14483798
0.025130000000000003,0.13675469999999998,0.15620174,0.13182052000000002,0.14882826,0.14632506
0.025140000000000003,0.13675469999999998,0.15627532,0.13194186000000002,0.14896346,0.14642212
0.025150000000000002,0.13675469999999998,0.15792746,0.13425453999999998,0.15099636,0.14816718
0.025160000000000002,0.13675469999999998,0.15804279999999998,0.1343688,0.15110932,0.14824066
0.02517,0.13675469999999998,0.15988986,0.13686985999999998,0.15317547999999997,0.14984598
0.02518,0.13675469999999998,0.15997798,0.13699066,0.15325492000000002,0.14992679999999997
0.02519,0.13675469999999998,0.16178476,0.1386116,0.15458668,0.15075706
0.025200000000000004,0.13675469999999998,0.16185719999999998,0.13869947999999999,0.15464838,0.15077734
0.025210000000000003,0.13675469999999998,0.16321534,0.1394724,0.15546932,0.15084306
0.025220000000000003,0.13675469999999998,0.16334466,0.1394876,0.15542548,0.15079294000000001
0.025230000000000002,0.13675469999999998,0.16384159999999998,0.13953708000000004,0.15523402,0.1498548
0.025240000000000002,0.13675469999999998,0.16381932,0.13950414,0.15510691999999998,0.14978614
0.02525,0.13675469999999998,0.16245936,0.13735344,0.15349784,0.14793334000000002
0.02526,0.13675469999999998,0.16235556,0.13721852,0.15333654,0.14782212
0.02527,0.13675469999999998,0.16040532000000002,0.13494679999999998,0.15117732,0.14610294000000001
0.02528,0.13675469999999998,0.16027734,0.13483186,0.15109068,0.14603585999999996
0.025290000000000003,0.13675469999999998,0.15852574000000003,0.13300773999999999,0.14919386,0.14458748000000002
0.025300000000000003,0.13675469999999998,0.15843706000000002,0.13290932,0.14908386,0.14452068
0.025310000000000003,0.13675469999999998,0.15703708,0.13130012,0.14784223999999999,0.14362454000000002
0.025320000000000002,0.13675469999999998,0.156976,0.1312112,0.14778586,0.14359054000000002
0.025330000000000002,0.13675469999999998,0.1559229,0.13022253999999997,0.14700146,0.14329518000000002
0.02534,0.13675469999999998,0.1558656,0.13020731999999996,0.14696198,0.14328946
0.02535,0.13675469999999998,0.15526051999999999,0.12994626,0.1468728,0.14370492
0.02536,0.13675469999999998,0.15528188,0.12991664,0.14685399999999998,0.14379199999999998
0.025370000000000004,0.13675469999999998,0.1556688,0.13086705999999998,0.14784345999999998,0.14507732
0.025380000000000003,0.13675469999999998,0.15573292,0.13097505999999998,0.14790614,0.14515519999999998
0.025390000000000003,0.13675469999999998,0.15706093999999998,0.13297598000000002,0.14970920000000001,0.14689732
0.025400000000000002,0.13675469999999998,0.15712173999999998,0.13310170000000002,0.14982596,0.14697638
0.025410000000000002,0.13675469999999998,0.15891092,0.13559868000000003,0.15196344,0.14881704
0.02542,0.13675469999999998,0.1590116,0.13574798000000002,0.1520728,0.14890973999999998
0.02543,0.13675469999999998,0.16084746,0.137976,0.15391732,0.15018572
0.02544,0.13675469999999998,0.16094120000000003,0.13798426000000003,0.15388148,0.15025172000000003
0.02545,0.13675469999999998,0.16251465999999998,0.13926771999999998,0.15500306000000003,0.15080334
0.025460000000000003,0.13675469999999998,0.16259534,0.13922482,0.15506934,0.15085718
0.025470000000000003,0.13675469999999998,0.16367064,0.13972,0.15531356,0.15047318
0.025480000000000003,0.13675469999999998,0.16370346,0.13979664,0.15539812,0.150418
0.025490000000000002,0.13675469999999998,0.1632805,0.13867614,0.15431212,0.14894062000000002
0.025500000000000002,0.13675469999999998,0.16320466,0.13850494000000002,0.15422012,0.14883104
0.02551,0.13675469999999998,0.16140426,0.1361652,0.15218545999999997,0.1470097
0.02552,0.13675469999999998,0.16129652,0.13602572000000002,0.15205838,0.14694053999999998
0.02553,0.13675469999999998,0.15934292,0.13396197999999998,0.15005439999999998,0.14536904
0.025540000000000004,0.13675469999999998,0.15924226000000002,0.13386908,0.1499432,0.14530386
0.025550000000000003,0.13675469999999998,0.15763746,0.1321484,0.14831838000000003,0.14411826
0.025560000000000003,0.13675469999999998,0.15755494,0.13206228,0.14827332000000001,0.14404744
0.025570000000000002,0.13675469999999998,0.15627998,0.13064146000000001,0.14733491999999998,0.14347652000000002
0.025580000000000002,0.13675469999999998,0.15623746,0.13061574,0.14728386,0.14346384
0.02559,0.13675469999999998,0.15537320000000002,0.13003506,0.14678438,0.14345986000000002
0.0256,0.13675469999999998,0.15529854,0.13000656,0.14678892000000002,0.14351239999999998
0.02561,0.13675469999999998,0.15517572,0.13019200000000003,0.14724866,0.1444012
0.02562,0.13675469999999998,0.15515213999999997,0.13026414,0.14729652,0.14446602
0.025630000000000003,0.13675469999999998,0.15608812,0.1318676,0.14875038000000002,0.14598677999999998
0.025640000000000003,0.13675469999999998,0.15614171999999998,0.13195198000000002,0.148896,0.14608414
0.025650000000000003,0.13675469999999998,0.15768346,0.13428838,0.15091680000000002,0.14784986
0.025660000000000002,0.13675469999999998,0.15778186,0.13442908,0.15103838,0.14794279999999999
0.025670000000000002,0.13675469999999998,0.15955494,0.13693386,0.15307334,0.149574
0.02568,0.13675469999999998,0.15964358,0.13702836,0.15315612,0.14964828000000002
0.02569,0.13675469999999998,0.16136546,0.13868772,0.15446758,0.15050120000000003
0.0257,0.13675469999999998,0.16144482,0.13874386,0.15452731999999997,0.15053976000000002
0.025710000000000004,0.13675469999999998,0.16280242,0.13953438,0.15534105999999998,0.15061770000000002
0.025720000000000003,0.13675469999999998,0.16293598,0.13955679999999998,0.15534799999999999,0.15058718
0.025730000000000003,0.13675469999999998,0.16334172000000002,0.13960534,0.15498104000000001,0.14967761999999998
0.025740000000000002,0.13675469999999998,0.16335038,0.13953478000000002,0.15496970000000002,0.14958094000000002
0.025750000000000002,0.13675469999999998,0.16212266,0.13741054,0.1533936,0.1477441
0.02576,0.13675469999999998,0.16204744,0.13727174,0.15325424,0.14763652
0.02577,0.13675469999999998,0.16016078000000003,0.13499266000000001,0.15114304,0.14590628
0.02578,0.13675469999999998,0.16005826,0.1348728,0.15103826000000004,0.14581921999999997
0.02579,0.13675469999999998,0.15829865999999998,0.13307162,0.14918636,0.14435800000000001
0.025800000000000003,0.13675469999999998,0.15823692,0.13297894000000002,0.14907120000000001,0.14430762000000003
0.025810000000000003,0.13675469999999998,0.15682784,0.13134946,0.14779066,0.14339332
0.025820000000000003,0.13675469999999998,0.15675796,0.13126426000000002,0.14773814000000002,0.1433528
0.025830000000000002,0.13675469999999998,0.15575584,0.13025174,0.14697918000000001,0.14305962
0.025840000000000002,0.13675469999999998,0.15572412,0.13023746,0.14696505999999998,0.14304442
